	platform_id	platform	neighbourhood	furniture	property_type	size_sqm	bedrooms	bathrooms	price	price_sqm	price_bedroom	available_from	available_today	let_type	detailed_furniture	scraping_date
141	127647863	Rightmove	Lambeth	unfurnished	Flat		2.0	1.0	2396.0		1198.0	2022-10-12	available	Long term	unfurnished	2022-10-12
142	85917963	Rightmove	Tower Hamlets	furnished	Flat		1.0	1.0	1560.0		1560.0			Long term	furnished	2022-10-12
143	127343726	Rightmove	Camden	unfurnished	Flat		3.0	3.0	7497.0		2499.0			Long term	unfurnished	2022-10-12
144	126464486	Rightmove	Camden	furnished	Flat		5.0	3.0	7042.0		1408.4			Long term	furnished	2022-10-12
145	81948693	Rightmove	City of Westminster	furnished	Apartment	50.0	1.0	1.0	3140.0	62.8	3140.0	2023-03-02	occupied	Long term	furnished	2022-10-12
146	127799243	Rightmove	Camden	furnished	Flat		2.0	1.0	3142.0		1571.0	2022-10-12	available	Long term	furnished	2022-10-12
147	125716163	Rightmove	Hammersmith and Fulham	furnished	Flat		3.0	2.0	5850.0		1950.0	2022-11-01	occupied	Long term	furnished	2022-10-12
148	127085813	Rightmove	Kensington and Chelsea	furnished	Apartment		2.0	1.0	4333.0		2166.5	2022-10-24	occupied	Long term	flexible	2022-10-12
149	127767092	Rightmove	Camden	furnished	Flat		3.0	3.0	4500.0		1500.0	2022-12-12	occupied	Long term	furnished	2022-10-12
150	127229660	Rightmove	Tower Hamlets	furnished	Apartment		3.0	2.0	3900.0		1300.0			Long term	flexible	2022-10-12
151	692086	Spotahome	Kensington and Chelsea	furnished	Apartment	89.0	2.0	2.0	8301.0	93.27	4150.5	2023-01-03	occupied		furnished	2022-10-12
152	118372052	Rightmove	City of London	furnished	Apartment	46.0	1.0	1.0	3190.0	69.35	3190.0	2022-11-04	occupied	Long term	furnished	2022-10-12
153	127931867	Rightmove	Hammersmith and Fulham	furnished	Apartment		2.0	2.0	5720.0		2860.0	2022-10-14	occupied	Long term	furnished	2022-10-12
154	127667603	Rightmove	City of London	unfurnished	Flat		2.0	1.0	3250.0		1625.0			Long term	unfurnished	2022-10-12
155	448227	Spotahome	City of Westminster	furnished	Apartment	32.0	1.0	1.0	4800.0	150.0	4800.0	2022-10-26	occupied		furnished	2022-10-12
156	127619087	Rightmove	City of Westminster	furnished	Apartment		4.0	3.0	10833.0		2708.25	2022-10-12	available	Long term	flexible	2022-10-12
157	123880175	Rightmove	Camden	furnished	Apartment		2.0	2.0	3878.0		1939.0	2022-10-12	available	Long term	flexible	2022-10-12
158	85906149	Rightmove	Hammersmith and Fulham	furnished	Apartment		2.0	1.0	3250.0		1625.0	2022-10-12	occupied	Long term	furnished	2022-10-12
159	124566899	Rightmove	Tower Hamlets	furnished	Flat		1.0		2600.0		2600.0	2022-10-12	available	Long term	furnished	2022-10-12
160	689201	Spotahome	City of Westminster	furnished	Studio		0.0	1.0	3422.0		3422.0	2023-12-10	occupied		furnished	2022-10-12
161	127252499	Rightmove	Tower Hamlets	furnished	Apartment		3.0	2.0	3500.0		1166.67	2022-10-12	available	Long term	furnished	2022-10-12
162	127918760	Rightmove	Camden	furnished	Studio		0.0		2145.0		2145.0	2022-10-27	occupied	Long term	furnished	2022-10-12
163	127905956	Rightmove	Kensington and Chelsea	unfurnished	Apartment		1.0	1.0	2925.0		2925.0	2022-10-12	available	Long term	unfurnished	2022-10-12
164	422269	Spotahome	City of Westminster	furnished	Apartment		2.0		6007.0		3003.5	2023-02-17	occupied		furnished	2022-10-12
165	49234758	Rightmove	Hammersmith and Fulham	furnished	Apartment		2.0	2.0	3120.0		1560.0			Long term	flexible	2022-10-12
166	127551374	Rightmove	Kensington and Chelsea	unfurnished	Flat		1.0	1.0	2817.0		2817.0	2022-10-12	available	Long term	unfurnished	2022-10-12
167	85540284	Rightmove	Hammersmith and Fulham	furnished	Penthouse	80.0	2.0	2.0	6197.0	77.46	3098.5			Long term	flexible	2022-10-12
168	114953816	Rightmove	City of Westminster	furnished	Apartment	46.0	1.0	1.0	4370.0	95.0	4370.0	2023-06-20	occupied	Long term	furnished	2022-10-12
169	561873	Spotahome	Camden	furnished	Apartment	80.0	3.0	2.0	5299.0	66.24	1766.33	2022-12-29	occupied		furnished	2022-10-12
170	85381731	Rightmove	Hammersmith and Fulham	furnished	Apartment		2.0	2.0	5850.0		2925.0	2022-10-12	available	Long term	flexible	2022-10-12
171	115427078	Rightmove	Lambeth	furnished	Apartment	55.0	2.0	2.0	4910.0	89.27	2455.0	2023-08-17	occupied	Long term	furnished	2022-10-12
172	127400420	Rightmove	Islington	furnished	Apartment		2.0	2.0	3136.0		1568.0	2022-10-12	available	Long term	furnished	2022-10-12
173	127864352	Rightmove	Hammersmith and Fulham	furnished	Flat	49.0	1.0	1.0	2145.0	43.78	2145.0			Long term	furnished	2022-10-12
174	124645739	Rightmove	Camden	furnished	Flat	38.0	1.0	1.0	1898.0	49.95	1898.0			Long term	furnished	2022-10-12
175	126883007	Rightmove	Lambeth	furnished	Flat	74.0	2.0	2.0	3250.0	43.92	1625.0			Long term	furnished	2022-10-12
176	123925436	Rightmove	City of London	furnished	Apartment		1.0	1.0	5633.0		5633.0	2022-10-12	available	Short term	furnished	2022-10-12
177	127159955	Rightmove	Kensington and Chelsea	furnished	Flat		2.0	2.0	7600.0		3800.0	2022-10-12	available	Long term	furnished	2022-10-12
178	127663388	Rightmove	Tower Hamlets	furnished	Flat		1.0	1.0	2405.0		2405.0			Long term	furnished	2022-10-12
179	126813578	Rightmove	Kensington and Chelsea	furnished	Apartment		3.0	4.0	17333.0		5777.67	2022-10-12	available	Long term	furnished	2022-10-12
180	127843916	Rightmove	Hackney	furnished	Flat		1.0	1.0	2097.0		2097.0			Long term	flexible	2022-10-12
181	114719600	Rightmove	City of London	furnished	Apartment	112.0	2.0	2.0	8450.0	75.45	4225.0	2022-10-12	available	Long term	furnished	2022-10-12
182	867016	Spotahome	City of Westminster	furnished	Apartment		1.0		3000.0		3000.0	2022-10-30	occupied		furnished	2022-10-12
183	119743154	Rightmove	Kensington and Chelsea	furnished	Studio		0.0	1.0	3012.0		3012.0	2022-11-08	occupied	Long term	furnished	2022-10-12
184	127830698	Rightmove	Islington	furnished	Apartment		1.0	1.0	1350.0		1350.0	2022-11-22	occupied	Long term	flexible	2022-10-12
185	127368341	Rightmove	Islington	unfurnished	Flat		1.0	1.0	1647.0		1647.0			Long term	part furnished	2022-10-12
186	797839	Spotahome	Islington	furnished	Apartment	70.0	2.0	1.0	6982.5	99.74	3491.0	2022-10-25	occupied		furnished	2022-10-12
187	127934735	Rightmove	Tower Hamlets	furnished	Apartment		2.0	1.0	1900.0		950.0	2022-10-24	occupied	Long term	flexible	2022-10-12
188	638056	Spotahome	City of Westminster	furnished	Apartment		2.0	2.0	10625.0		5312.5	2024-01-06	occupied		furnished	2022-10-12
189	127931876	Rightmove	Tower Hamlets	furnished	Apartment		1.0	1.0	3033.0		3033.0	2022-11-14	occupied	Long term	furnished	2022-10-12
190	127893092	Rightmove	Camden	unfurnished	Flat		2.0	2.0	2250.0		1125.0	2022-10-27	occupied	Long term	part furnished	2022-10-12
191	116807612	Rightmove	Kensington and Chelsea	furnished	Studio		0.0	1.0	3228.0		3228.0	2022-11-01	occupied	Long term	furnished	2022-10-12
